อักษรย่อ,ชื่อเต็ม,แท็กหมวดหมู่
อ.,อาจารย์,คำนำหน้า|บุคคล
ดร.,ด็อกเตอร์,คำนำหน้า|บุคคล
ด.ช.,เด็กชาย,คำนำหน้า|บุคคล
ด.ญ.,เด็กหญิง,คำนำหน้า|บุคคล
อ.ตร.,อธิบดีกรมตำรวจ,อาชีพ|ตำรวจ
นศท.,นักศึกษาวิชาทหาร,อาชีพ|ทหาร
นศ.,นักศึกษา,อาชีพ|การศึกษา
นร.,นักเรียน,อาชีพ|การศึกษา
บ.ก.,บรรณาธิการ,อาชีพ|สื่อสาร
ท.บ.,ทหารบก,อาชีพ|ทหาร|ทหารบก
น.น.ร.,นักเรียนนายร้อย,ทหาร|ทหารบก
พลฯ,พลทหาร,ทหาร|ทหารบก
ส.ต.,สิบตรี,ทหาร|ทหารบก|ยศ
ส.ท.,สิบโท,ทหาร|ทหารบก|ยศ
ส.อ.,สิบเอก,ทหาร|ทหารบก|ยศ
จ.ส.ต.,จ่าสิบตรี,ทหาร|ทหารบก|ยศ
จ.ส.ท.,จ่าสิบโท,ทหาร|ทหารบก|ยศ
จ.ส.อ.,จ่าสิบเอก,ทหาร|ทหารบก|ยศ
ตร.,ตำรวจ,อาชีพ|ตำรวจ
รศ.,รองศาสตราจารย์,ตำแหน่ง
ผอ.,ผู้อำนวยการ,ตำแหน่ง
สวญ.,สารวัตรใหญ่,ตำแหน่ง|ตำรวจ
ปธน.,ประธานาธิบดี,ตำแหน่ง|การปกครอง
ผช.,ผู้ช่วย,ตำแหน่ง
ผญบ.,ผู้ใหญ่บ้าน,ตำแหน่ง|การปกครอง
อก.,อัยการ,ตำแหน่ง
พ.ต.,พันตรี,ตำแหน่ง|ทหาร|ทหารบก|ยศ
พ.ต.ต.,พันตำรวจตรี,ตำแหน่ง|ตำรวจ|ยศ
พ.ต.ท.,พันตำรวจโท,ตำแหน่ง|ตำรวจ|ยศ
พ.ต.อ.,พันตำรวจเอก,ตำแหน่ง|ตำรวจ|ยศ
พ.ท.,พันโท,ตำแหน่ง|ทหาร|ทหารบก|ยศ
พล.ต.,พลตรี,ตำแหน่ง|ทหาร|ทหารบก|ยศ
พล.ต.ต.,พลตำรวจตรี,ตำแหน่ง|ตำรวจ|ยศ
พล.ต.ท.,พลตำรวจโท,ตำแหน่ง|ตำรวจ|ยศ
พล.ต.อ.,พลตำรวจเอก,ตำแหน่ง|ยศ|ตำรวจ
พล.ท.,พลโท,ตำแหน่ง|ทหาร|ทหารบก|ยศ
พล.ร.อ.,พลเรือตรี,ตำแหน่ง|ทหาร|ยศ|ทหารเรือ
พล.ร.ท.,พลเรือโท,ตำแหน่ง|ทหาร|ยศ|ทหารเรือ
พล.ร.อ.,พลเรือเอก,ตำแหน่ง|ทหาร|ยศ|ทหารเรือ
พล.อ.,พลเอก,ตำแหน่ง|ทหาร|ทหารบก|ยศ
พล.อ.ต.,พลอากาศเอก,ตำแหน่ง|ทหาร|ยศ|ทหารอากาศ
พล.อ.ท.,พลอากาศโท,ตำแหน่ง|ทหาร|ยศ|ทหารอากาศ
พล.อ.อ.,พลอากาศเอก,ตำแหน่ง|ทหาร|ยศ|ทหารอากาศ
พลฯ,พลทหาร,ตำแหน่ง|ทหาร
พ.อ.พิเศษ,พันเอกพิเศษ,ตำแหน่ง|ทหาร
พ.อ.ต.,พันจ่าอากาศตรี,ตำแหน่ง|ทหาร|ยศ|ทหารอากาศ
พ.อ.ท.,พันจ่าอากาศโท,ตำแหน่ง|ทหาร|ยศ|ทหารอากาศ
พ.อ.อ.,พันจ่าอากาศเอก,ตำแหน่ง|ทหาร|ยศ|ทหารอากาศ
ร.ต.ต.,ร้อยตำรวจตรี,ตำแหน่ง|ตำรวจ|ยศ 
